USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  53044 11508 ?        Ss   янв21   0:11 /usr/lib/systemd/systemd --switched-root --system --deserialize=48 rhgb
root         381  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/9:1H]
root         474  0.0  0.0      0     0 ?        I<   янв21   0:06 [kworker/4:1H-events_highpri]
root         482  0.0  0.0      0     0 ?        I<   янв21   0:06 [kworker/3:1H-events_highpri]
root         520  0.0  0.0      0     0 ?        S    янв21   0:06 [irq/157-ELAN0521:01]
root         555  0.0  0.0      0     0 ?        S    янв21   0:00 [spi0]
root         559  0.0  0.0      0     0 ?        S    янв21   0:00 [scsi_eh_0]
root         560  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-scsi_tmf_0]
root         561  0.0  0.0      0     0 ?        S    янв21   0:00 [scsi_eh_1]
root         562  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-scsi_tmf_1]
root         563  0.0  0.0      0     0 ?        S    янв21   0:00 [scsi_eh_2]
root         564  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-scsi_tmf_2]
root         586  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-ttm]
root         587  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-nvme-wq]
root         588  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-nvme-reset-wq]
root         589  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-nvme-delete-wq]
root         590  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-nvme-auth-wq]
root         591  0.0  0.0      0     0 ?        S    янв21   0:00 [card1-crtc0]
root         592  0.0  0.0      0     0 ?        S    янв21   0:00 [card1-crtc1]
root         593  0.0  0.0      0     0 ?        S    янв21   0:00 [card1-crtc2]
root         594  0.0  0.0      0     0 ?        S    янв21   0:00 [card1-crtc3]
root         601  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-worker]
root         602  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-delalloc]
root         603  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-flush_delalloc]
root         604  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-cache]
root         605  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-fixup]
root         606  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-endio]
root         607  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-endio-meta]
root         608  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-rmw]
root         609  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-endio-write]
root         610  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-compressed-write]
root         611  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-freespace-write]
root         612  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-delayed-meta]
root         613  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-btrfs-qgroup-rescan]
root         614  0.0  0.0      0     0 ?        S    янв21   0:00 [btrfs-cleaner]
root         615  0.0  0.0      0     0 ?        S    янв21   8:17 [btrfs-transaction]
root         633  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-ttm]
root         634  0.0  0.0      0     0 ?        S    янв21   0:00 [card0-crtc0]
root         635  0.0  0.0      0     0 ?        S    янв21   0:00 [card0-crtc1]
root         636  0.0  0.0      0     0 ?        S    янв21   0:00 [card0-crtc2]
root         637  0.0  0.0      0     0 ?        S    янв21   0:00 [card0-crtc3]
root         699  0.0  0.1 209844 30044 ?        Ss   янв21   0:30 /usr/lib/systemd/systemd-journald
root         724  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-rpciod]
root         725  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-xprtiod]
root         735  0.0  0.0  16236  4760 ?        Ss   янв21   0:03 /usr/lib/systemd/systemd-userdbd
root         740  0.0  0.0      0     0 ?        S    янв21   0:00 [psimon]
root         746  0.0  0.0  44176  6036 ?        Ss   янв21   0:00 /usr/lib/systemd/systemd-udevd
root         750  0.0  0.0      0     0 ?        S    янв21   0:00 [psimon]
root         840  0.0  0.0      0     0 ?        S    янв21   0:00 [jbd2/nvme0n1p2-8]
root         842  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-ext4-rsv-conversion]
root         859  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-cfg80211]
root         861  0.0  0.0      0     0 ?        S    янв21   8:49 [irq/173-iwlwifi:default_queue]
